State,District,year,Production(T)
"Madhya Pradesh",Chhindwara,2019,1437571
"West Bengal","Dinajpur uttar",2019,955179
Karnataka,Belgaum,2019,659590
Maharashtra,Nashik,2019,291961
"Madhya Pradesh",Seoni,2019,876983
Rajasthan,Chittorgarh,2019,207095
Karnataka,Bellary,2019,683388
Karnataka,Haveri,2019,412129
Bihar,Katihar,2019,529876
Maharashtra,Jalgaon,2019,348413
"Tamil Nadu",Perambalur,2019,570177
Rajasthan,Bhilwara,2019,248264
Karnataka,Davangere,2019,458158
"Andhra Pradesh",Guntur,2019,502864
"Madhya Pradesh",Betul,2019,360403
Karnataka,Hassan,2019,422565
"West Bengal",Maldah,2019,465122
Karnataka,Chitradurga,2019,324754
Bihar,Purnia,2019,405348
"Andhra Pradesh","West godavari",2019,439808
Telangana,Warangal,2019,412475
Telangana,Nirmal,2019,399971
"Madhya Pradesh",Barwani,2019,294895
"West Bengal",Coochbehar,2019,247369
"West Bengal",Murshidabad,2019,353192
"Tamil Nadu",Salem,2019,272704
Rajasthan,Udaipur,2019,163231
Karnataka,Bagalkot,2019,241473
Telangana,Kamareddy,2019,324076
Bihar,Araria,2019,320079
Bihar,Begusarai,2019,282964
Bihar,Khagaria,2019,286266
Maharashtra,Aurangabad,2019,122092
Gujarat,Dohad,2019,259903
Telangana,Khammam,2019,295936
"Andhra Pradesh",Kurnool,2019,237135
"Madhya Pradesh",Khargone,2019,266069
Bihar,Samastipur,2019,285235
Karnataka,Shimoga,2019,241618
Bihar,Madhepura,2019,282613
Karnataka,Koppal,2019,99594
Karnataka,Gadag,2019,208625
"Madhya Pradesh",Dhar,2019,273079
Maharashtra,Ahmednagar,2019,132379
Karnataka,Bijapur,2019,166269
Telangana,Siddipet,2019,265268
"Andhra Pradesh",Srikakulam,2019,261402
Maharashtra,Jalna,2019,189051
"Uttar Pradesh",Kannauj,2019,253198
"Andhra Pradesh",Vizianagaram,2019,245470
Karnataka,Dharwad,2019,187592
"Tamil Nadu",Virudhunagar,2019,185782
"Tamil Nadu",Dindigul,2019,175019
Rajasthan,Banswara,2019,146125
Maharashtra,Solapur,2019,152837
Telangana,Nizamabad,2019,221848
"Tamil Nadu",Tiruppur,2019,215213
