District,State,year,"Market-Price(in Rupees Per Quintal)"
Adilabad,Telangana,2020,1536
Agra,"Uttar Pradesh",2020,1572
Ahmednagar,Maharashtra,2020,1397
Ajmer,Rajasthan,2020,1892
Akola,Maharashtra,2020,1657
Aligarh,"Uttar Pradesh",2020,1548
Alirajpur,"Madhya Pradesh",2020,1562
Alwar,Rajasthan,2020,1727
Ambala,Haryana,2020,1437
Amravati,Maharashtra,2020,1451
Amreli,Gujarat,2020,1804
Amritsar,Punjab,2020,1226
Amroha,"Uttar Pradesh",2020,1375
Anand,Gujarat,2020,1450
Anantapur,"Andhra Pradesh",2020,1432
Anuppur,"Madhya Pradesh",2020,1581
Ariyalur,"Tamil Nadu",2020,1475
Ashoknagar,"Madhya Pradesh",2020,1320
Auraiya,"Uttar Pradesh",2020,1987
Ayodhya,"Uttar Pradesh",2020,1787
Bagalkot,Karnataka,2020,1432
Bahraich,"Uttar Pradesh",2020,1759
Ballia,"Uttar Pradesh",2020,1752
Balod,Chhattisgarh,2020,1774
"Baloda Bazar",Chhattisgarh,2020,1500
Balrampur,Chhattisgarh,2020,1746
Banaskantha,Gujarat,2020,1704
"Bangalore Urban",Karnataka,2020,1755
Baran,Rajasthan,2020,1443
Barnala,Punjab,2020,1222
Barwani,"Madhya Pradesh",2020,1362
Bastar,Chhattisgarh,2020,1317
Beed,Maharashtra,2020,1306
Belgaum,Karnataka,2020,1466
Bellary,Karnataka,2020,1530
Bemetara,Chhattisgarh,2020,1210
Betul,"Madhya Pradesh",2020,1329
Bharuch,Gujarat,2020,1713
Bhavnagar,Gujarat,2020,1937
Bhilwara,Rajasthan,2020,1724
Bhind,"Madhya Pradesh",2020,1355
Bhopal,"Madhya Pradesh",2020,1421
Bidar,Karnataka,2020,1446
Bijapur,Chhattisgarh,2020,1305
Bilaspur,Chhattisgarh,2020,1400
Budaun,"Uttar Pradesh",2020,1246
Bulandshahr,"Uttar Pradesh",2020,1444
Buldhana,Maharashtra,2020,1287
Bundi,Rajasthan,2020,1353
Burhanpur,"Madhya Pradesh",2020,1313
"Central Delhi",Delhi,2020,1915
Chamarajanagar,Karnataka,2020,1563
Chhatarpur,"Madhya Pradesh",2020,1730
Chhindwara,"Madhya Pradesh",2020,1391
Chikkamagaluru,Karnataka,2020,1763
Chitradurga,Karnataka,2020,1507
Chittorgarh,Rajasthan,2020,1560
Coimbatore,"Tamil Nadu",2020,1571
Cuddalore,"Tamil Nadu",2020,1403
Dahod,Gujarat,2020,1749
Damoh,"Madhya Pradesh",2020,4033
Dantewada,Chhattisgarh,2020,1350
Dausa,Rajasthan,2020,2086
Davanagere,Karnataka,2020,1460
Deoria,"Uttar Pradesh",2020,1596
Dewas,"Madhya Pradesh",2020,1356
Dhamtari,Chhattisgarh,2020,1306
Dhar,"Madhya Pradesh",2020,1384
Dharwad,Karnataka,2020,1369
Dhule,Maharashtra,2020,1389
Dindigul,"Tamil Nadu",2020,1600
Dindori,"Madhya Pradesh",2020,1434
Durg,Chhattisgarh,2020,1220
Erode,"Tamil Nadu",2020,1496
Etah,"Uttar Pradesh",2020,1475
Etawah,"Uttar Pradesh",2020,1155
Farrukhabad,"Uttar Pradesh",2020,1543
Firozabad,"Uttar Pradesh",2020,1474
Firozpur,Punjab,2020,2200
Gadag,Karnataka,2020,1411
Gadchiroli,Maharashtra,2020,1800
Gajapati,Odisha,2020,1700
Ganjam,Odisha,2020,1603
Garhwa,Jharkhand,2020,1760
Gariaband,Chhattisgarh,2020,1479
Ghaziabad,"Uttar Pradesh",2020,1648
Gonda,"Uttar Pradesh",2020,1750
Gorakhpur,"Uttar Pradesh",2020,1701
Gulbarga,Karnataka,2020,1477
Guna,"Madhya Pradesh",2020,1365
Harda,"Madhya Pradesh",2020,1262
Hardoi,"Uttar Pradesh",2020,1605
Hassan,Karnataka,2020,1502
Hathras,"Uttar Pradesh",2020,1370
Haveri,Karnataka,2020,1408
Hoshangabad,"Madhya Pradesh",2020,1355
Hoshiarpur,Punjab,2020,1915
Indore,"Madhya Pradesh",2020,1418
Jabalpur,"Madhya Pradesh",2020,1383
Jaipur,Rajasthan,2020,1784
Jalandhar,Punjab,2020,1271
Jalgaon,Maharashtra,2020,1341
Jalna,Maharashtra,2020,1306
Jamnagar,Gujarat,2020,1460
Jashpur,Chhattisgarh,2020,1799
Jaunpur,"Uttar Pradesh",2020,1798
Jhabua,"Madhya Pradesh",2020,1833
Jhalawar,Rajasthan,2020,1494
Jodhpur,Rajasthan,2020,1969
Junagadh,Gujarat,2020,1790
Kalahandi,Odisha,2020,3519
Kanker,Chhattisgarh,2020,1254
Kannauj,"Uttar Pradesh",2020,1519
"Kanpur Nagar","Uttar Pradesh",2020,1619
Kapurthala,Punjab,2020,1374
Karimnagar,Telangana,2020,1705
Katni,"Madhya Pradesh",2020,1477
Khammam,Telangana,2020,1694
Khandwa,"Madhya Pradesh",2020,1332
Khargone,"Madhya Pradesh",2020,1335
Kodagu,Karnataka,2020,1393
Kolar,Karnataka,2020,1892
Kondagaon,Chhattisgarh,2020,1392
Koppal,Karnataka,2020,1409
Koraput,Odisha,2020,1755
Korba,Chhattisgarh,2020,1788
Koriya,Chhattisgarh,2020,1731
Kota,Rajasthan,2020,1496
Kurnool,"Andhra Pradesh",2020,1670
Kurukshetra,Haryana,2020,1510
Lakhimpur,Assam,2020,1621
Lalitpur,"Uttar Pradesh",2020,1784
Latur,Maharashtra,2020,1441
Lohardaga,Jharkhand,2020,1794
Lucknow,"Uttar Pradesh",2020,1652
Ludhiana,Punjab,2020,1183
Mahasamund,Chhattisgarh,2020,1617
Mahbubnagar,Telangana,2020,1515
Mainpuri,"Uttar Pradesh",2020,1505
Mandla,"Madhya Pradesh",2020,1611
Mandsaur,"Madhya Pradesh",2020,1474
Mandya,Karnataka,2020,1544
Mayurbhanj,Odisha,2020,1800
Medak,Telangana,2020,1545
Meerut,"Uttar Pradesh",2020,1522
Mehsana,Gujarat,2020,1530
Moga,Punjab,2020,1225
Moradabad,"Uttar Pradesh",2020,1530
"Mumbai Suburban",Maharashtra,2020,2275
Mungeli,Chhattisgarh,2020,1760
Muzaffarnagar,"Uttar Pradesh",2020,1947
Mysore,Karnataka,2020,1471
Nabarangpur,Odisha,2020,1478
Nagpur,Maharashtra,2020,1423
Nainital,Uttarakhand,2020,1761
Nalgonda,Telangana,2020,1352
Namakkal,"Tamil Nadu",2020,1602
Nanded,Maharashtra,2020,1221
Nandurbar,Maharashtra,2020,1484
Narayanpur,Chhattisgarh,2020,1387
Narsinghpur,"Madhya Pradesh",2020,1450
Nashik,Maharashtra,2020,1350
Neemuch,"Madhya Pradesh",2020,1668
Nizamabad,Telangana,2020,1559
Osmanabad,Maharashtra,2020,1435
Pali,Rajasthan,2020,1887
Panchmahal,Gujarat,2020,1888
Parbhani,Maharashtra,2020,1400
Patiala,Punjab,2020,1110
Porbandar,Gujarat,2020,1441
Pratapgarh,Rajasthan,2020,1820
Prayagraj,"Uttar Pradesh",2020,1772
Pudukkottai,"Tamil Nadu",2020,1725
Pune,Maharashtra,2020,1664
Raichur,Karnataka,2020,2296
Raigad,Maharashtra,2020,1349
Raigarh,Chhattisgarh,2020,1425
Raipur,Chhattisgarh,2020,1425
Raisen,"Madhya Pradesh",2020,1259
Rajgarh,"Madhya Pradesh",2020,1451
Rajkot,Gujarat,2020,1627
Rajnandgaon,Chhattisgarh,2020,1423
"Ranga Reddy",Telangana,2020,1643
Ratlam,"Madhya Pradesh",2020,1451
Rayagada,Odisha,2020,1897
Sabarkantha,Gujarat,2020,1506
Sagar,"Madhya Pradesh",2020,1615
Saharanpur,"Uttar Pradesh",2020,1942
Salem,"Tamil Nadu",2020,1483
Sangli,Maharashtra,2020,1676
Sangrur,Punjab,2020,1210
Satara,Maharashtra,2020,1839
"Sawai Madhopur",Rajasthan,2020,1666
Sehore,"Madhya Pradesh",2020,1368
Seoni,"Madhya Pradesh",2020,1502
Shahdol,"Madhya Pradesh",2020,1492
"Shaheed Bhagat Singh Nagar",Punjab,2020,1225
Shajapur,"Madhya Pradesh",2020,1396
Sheopur,"Madhya Pradesh",2020,1293
Shimoga,Karnataka,2020,1458
Shivpuri,"Madhya Pradesh",2020,1360
Shravasti,"Uttar Pradesh",2020,1722
Sidhi,"Madhya Pradesh",2020,1765
Singrauli,"Madhya Pradesh",2020,1754
Solapur,Maharashtra,2020,1424
"Sri Ganganagar",Rajasthan,2020,1596
Surajpur,Chhattisgarh,2020,1762
Surat,Gujarat,2020,1271
Surendranagar,Gujarat,2020,1250
Surguja,Chhattisgarh,2020,1778
Theni,"Tamil Nadu",2020,1616
Tonk,Rajasthan,2020,1622
Tumkur,Karnataka,2020,1684
Udaipur,Rajasthan,2020,1760
Ujjain,"Madhya Pradesh",2020,1463
Umaria,"Madhya Pradesh",2020,1655
Unakoti,Tripura,2020,2600
Unnao,"Uttar Pradesh",2020,1619
"Uttara Kannada",Karnataka,2020,1423
Vadodara,Gujarat,2020,2064
Varanasi,"Uttar Pradesh",2020,1845
Vellore,"Tamil Nadu",2020,1746
Vidisha,"Madhya Pradesh",2020,1216
Viluppuram,"Tamil Nadu",2020,1446
Virudhunagar,"Tamil Nadu",2020,1700
Warangal,Telangana,2020,1522
Washim,Maharashtra,2020,1600
Yavatmal,Maharashtra,2020,1120
