District,State,Year,"Market-Price(in Rupees Per Quintal)"
Adilabad,Telangana,2022,2002
Agra,"Uttar Pradesh",2022,1792
Ahmednagar,Maharashtra,2022,1912
Ajmer,Rajasthan,2022,2196
Akola,Maharashtra,2022,1904
Aligarh,"Uttar Pradesh",2022,1835
Alirajpur,"Madhya Pradesh",2022,1701
Alwar,Rajasthan,2022,2319
Ambala,Haryana,2022,1922
Amravati,Maharashtra,2022,1732
Amreli,Gujarat,2022,2101
Anand,Gujarat,2022,1900
Anantapur,"Andhra Pradesh",2022,1782
Anuppur,"Madhya Pradesh",2022,1636
Ariyalur,"Tamil Nadu",2022,1982
Ashoknagar,"Madhya Pradesh",2022,1836
Auraiya,"Uttar Pradesh",2022,1885
Aurangabad,Bihar,2022,1941
Bagalkot,Karnataka,2022,2017
Bahraich,"Uttar Pradesh",2022,1812
Balaghat,"Madhya Pradesh",2022,1800
Balod,Chhattisgarh,2022,1850
"Baloda Bazar",Chhattisgarh,2022,1783
Balrampur,Chhattisgarh,2022,1834
Banaskantha,Gujarat,2022,2161
"Bangalore Urban",Karnataka,2022,2345
Baran,Rajasthan,2022,1881
Barwani,"Madhya Pradesh",2022,1819
Bastar,Chhattisgarh,2022,1831
Beed,Maharashtra,2022,1886
Belgaum,Karnataka,2022,2000
Bellary,Karnataka,2022,2120
Betul,"Madhya Pradesh",2022,1923
Bhagalpur,Bihar,2022,1975
Bharuch,Gujarat,2022,1683
Bhavnagar,Gujarat,2022,2203
Bhilwara,Rajasthan,2022,1826
Bhiwani,Haryana,2022,2219
Bhopal,"Madhya Pradesh",2022,1777
Bidar,Karnataka,2022,2747
Bijapur,Chhattisgarh,2022,1856
Bilaspur,Chhattisgarh,2022,1400
Budaun,"Uttar Pradesh",2022,1956
Bulandshahr,"Uttar Pradesh",2022,2047
Buldhana,Maharashtra,2022,1851
Bundi,Rajasthan,2022,1996
Burhanpur,"Madhya Pradesh",2022,1947
"Central Delhi",Delhi,2022,2116
Chamarajanagar,Karnataka,2022,1537
Chhatarpur,"Madhya Pradesh",2022,1528
Chhindwara,"Madhya Pradesh",2022,1951
Chikkamagaluru,Karnataka,2022,1675
Chitradurga,Karnataka,2022,2104
Chittorgarh,Rajasthan,2022,2066
Coimbatore,"Tamil Nadu",2022,2138
Cuddalore,"Tamil Nadu",2022,2029
Dahod,Gujarat,2022,2007
Dantewada,Chhattisgarh,2022,1600
Dausa,Rajasthan,2022,2509
Davanagere,Karnataka,2022,2018
Dehradun,Uttarakhand,2022,1952
Dewas,"Madhya Pradesh",2022,1851
Dhamtari,Chhattisgarh,2022,1574
Dhar,"Madhya Pradesh",2022,1921
Dharwad,Karnataka,2022,1906
Dhule,Maharashtra,2022,1950
Dindigul,"Tamil Nadu",2022,1872
Dindori,"Madhya Pradesh",2022,1724
Erode,"Tamil Nadu",2022,2112
Etah,"Uttar Pradesh",2022,1846
Etawah,"Uttar Pradesh",2022,1950
Farrukhabad,"Uttar Pradesh",2022,1857
"Fatehgarh Sahib",Punjab,2022,1408
Fatehpur,"Uttar Pradesh",2022,1650
Firozabad,"Uttar Pradesh",2022,1826
Gadag,Karnataka,2022,1914
Gadchiroli,Maharashtra,2022,1933
Gajapati,Odisha,2022,1950
Ganjam,Odisha,2022,1733
Gariaband,Chhattisgarh,2022,1534
"Gautam Buddha Nagar","Uttar Pradesh",2022,1940
Ghaziabad,"Uttar Pradesh",2022,1940
Gonda,"Uttar Pradesh",2022,1797
Gopalganj,Bihar,2022,1300
Gulbarga,Karnataka,2022,2134
Guna,"Madhya Pradesh",2022,1829
Harda,"Madhya Pradesh",2022,1808
Hardoi,"Uttar Pradesh",2022,1821
Hassan,Karnataka,2022,1723
Hathras,"Uttar Pradesh",2022,1939
Haveri,Karnataka,2022,2036
Hoshangabad,"Madhya Pradesh",2022,1806
Hoshiarpur,Punjab,2022,1683
"Imphal West",Manipur,2022,3144
Indore,"Madhya Pradesh",2022,1945
Jabalpur,"Madhya Pradesh",2022,1902
Jaipur,Rajasthan,2022,1943
Jalandhar,Punjab,2022,1520
Jalgaon,Maharashtra,2022,1919
Jalna,Maharashtra,2022,1950
"Janjgir Champa",Chhattisgarh,2022,1400
Jashpur,Chhattisgarh,2022,1822
Jaunpur,"Uttar Pradesh",2022,1968
Jhabua,"Madhya Pradesh",2022,1844
Jhalawar,Rajasthan,2022,1847
Jodhpur,Rajasthan,2022,1833
Junagadh,Gujarat,2022,1852
Kabirdham,Chhattisgarh,2022,1300
Kanker,Chhattisgarh,2022,1543
Kannauj,"Uttar Pradesh",2022,1867
"Kanpur Nagar","Uttar Pradesh",2022,1920
Kapurthala,Punjab,2022,1540
Karimnagar,Telangana,2022,1966
Katni,"Madhya Pradesh",2022,1615
Khammam,Telangana,2022,1842
Khandwa,"Madhya Pradesh",2022,1893
Khargone,"Madhya Pradesh",2022,1917
Kolar,Karnataka,2022,1970
Kondagaon,Chhattisgarh,2022,1834
Koppal,Karnataka,2022,1943
Koraput,Odisha,2022,1710
Korba,Chhattisgarh,2022,1900
Koriya,Chhattisgarh,2022,1855
Kota,Rajasthan,2022,2014
Kurnool,"Andhra Pradesh",2022,1848
Kurukshetra,Haryana,2022,1684
Lakhimpur,Assam,2022,1744
Lalitpur,"Uttar Pradesh",2022,1815
Latur,Maharashtra,2022,2047
Ludhiana,Punjab,2022,1813
Mahasamund,Chhattisgarh,2022,2553
Mahbubnagar,Telangana,2022,1954
Mainpuri,"Uttar Pradesh",2022,1798
Mandla,"Madhya Pradesh",2022,1702
Mandsaur,"Madhya Pradesh",2022,1955
Mayurbhanj,Odisha,2022,2150
Medak,Telangana,2022,2016
Meerut,"Uttar Pradesh",2022,1973
Moradabad,"Uttar Pradesh",2022,1817
"Mumbai Suburban",Maharashtra,2022,2517
Muzaffarnagar,"Uttar Pradesh",2022,1975
Mysore,Karnataka,2022,1937
Nabarangpur,Odisha,2022,1663
Nagpur,Maharashtra,2022,1908
Nainital,Uttarakhand,2022,2093
Nalgonda,Telangana,2022,1933
Namakkal,"Tamil Nadu",2022,1951
Nanded,Maharashtra,2022,1731
Nandurbar,Maharashtra,2022,1924
Narayanpur,Chhattisgarh,2022,1472
Narsinghpur,"Madhya Pradesh",2022,1818
Nashik,Maharashtra,2022,2038
Neemuch,"Madhya Pradesh",2022,1939
Nizamabad,Telangana,2022,1868
Osmanabad,Maharashtra,2022,1967
Pali,Rajasthan,2022,2195
Panchmahal,Gujarat,2022,1985
Patiala,Punjab,2022,1499
Porbandar,Gujarat,2022,2225
Pune,Maharashtra,2022,2198
Purnia,Bihar,2022,2112
Raichur,Karnataka,2022,2121
Raigad,Maharashtra,2022,1897
Raigarh,Chhattisgarh,2022,1797
Raipur,Chhattisgarh,2022,1922
Raisen,"Madhya Pradesh",2022,1666
Rajgarh,"Madhya Pradesh",2022,1879
Rajkot,Gujarat,2022,2054
Rajnandgaon,Chhattisgarh,2022,1923
"Ranga Reddy",Telangana,2022,1917
Ratlam,"Madhya Pradesh",2022,1801
Rayagada,Odisha,2022,2671
Sabarkantha,Gujarat,2022,2088
Sagar,"Madhya Pradesh",2022,1709
Saharanpur,"Uttar Pradesh",2022,1957
Salem,"Tamil Nadu",2022,2004
Samastipur,Bihar,2022,1979
Sangli,Maharashtra,2022,1896
Satara,Maharashtra,2022,2161
"Sawai Madhopur",Rajasthan,2022,2015
Sehore,"Madhya Pradesh",2022,1889
Seoni,"Madhya Pradesh",2022,1817
Shahdol,"Madhya Pradesh",2022,1771
"Shaheed Bhagat Singh Nagar",Punjab,2022,1601
Shajapur,"Madhya Pradesh",2022,1779
Sheikhpura,Bihar,2022,1761
Sheopur,"Madhya Pradesh",2022,1711
Shimoga,Karnataka,2022,1937
Shivpuri,"Madhya Pradesh",2022,1723
Sidhi,"Madhya Pradesh",2022,1720
Singrauli,"Madhya Pradesh",2022,1850
Solapur,Maharashtra,2022,2035
Surajpur,Chhattisgarh,2022,1813
Surguja,Chhattisgarh,2022,1873
Theni,"Tamil Nadu",2022,2102
Tonk,Rajasthan,2022,2157
Tumkur,Karnataka,2022,2075
Udaipur,Rajasthan,2022,1786
Ujjain,"Madhya Pradesh",2022,1888
Umaria,"Madhya Pradesh",2022,1657
Unnao,"Uttar Pradesh",2022,1828
"Uttara Kannada",Karnataka,2022,2135
Varanasi,"Uttar Pradesh",2022,1970
Vellore,"Tamil Nadu",2022,2300
Vidisha,"Madhya Pradesh",2022,1650
Viluppuram,"Tamil Nadu",2022,2092
Warangal,Telangana,2022,2077
"West Godavari","Andhra Pradesh",2022,1851
